Date,Day_of_Year,Crop_Biomass_kg_ha,Weed_Biomass_kg_ha,Pest_Density_ind_m2,Bat_Population_ind_km2,Soil_Organic_Matter_pct,Growth_Phase
2023-01-01,0,500.00,200.00,4.00,80.00,2.20,Pre-planting
2023-01-02,1,500.00,0.00,4.60,80.00,2.20,Pre-planting
2023-01-03,2,500.00,-0.00,5.30,80.00,2.20,Pre-planting
2023-01-04,3,500.00,0.00,6.10,80.00,2.20,Pre-planting
2023-01-05,4,500.00,-0.00,7.10,80.00,2.20,Pre-planting
2023-01-06,5,500.00,-0.00,8.10,79.00,2.20,Pre-planting
2023-01-07,6,500.00,-0.00,9.30,79.00,2.20,Pre-planting
2023-01-08,7,500.00,0.00,10.70,79.00,2.20,Pre-planting
2023-01-09,8,500.00,0.00,12.20,79.00,2.20,Pre-planting
2023-01-10,9,500.00,-0.00,13.90,79.00,2.20,Pre-planting
2023-01-11,10,500.00,-0.00,15.80,79.00,2.20,Pre-planting
2023-01-12,11,500.00,0.00,17.90,79.00,2.20,Pre-planting
2023-01-13,12,500.00,0.00,20.20,79.00,2.20,Pre-planting
2023-01-14,13,500.00,-0.00,22.70,79.00,2.20,Pre-planting
2023-01-15,14,500.00,-0.00,25.40,79.00,2.20,Pre-planting
2023-01-16,15,500.00,0.00,28.40,78.00,2.20,Pre-planting
2023-01-17,16,500.00,-0.00,31.50,78.00,2.20,Pre-planting
2023-01-18,17,500.00,0.00,34.80,78.00,2.20,Pre-planting
2023-01-19,18,500.00,0.00,38.30,78.00,2.20,Pre-planting
2023-01-20,19,500.00,0.00,41.90,78.00,2.20,Pre-planting
2023-01-21,20,500.00,-0.00,45.60,78.00,2.20,Pre-planting
2023-01-22,21,500.00,-0.00,49.30,78.00,2.20,Pre-planting
2023-01-23,22,500.00,0.00,53.00,78.00,2.20,Pre-planting
2023-01-24,23,500.00,0.00,56.70,78.00,2.20,Pre-planting
2023-01-25,24,500.00,-0.00,60.40,78.00,2.20,Pre-planting
2023-01-26,25,500.00,-0.00,63.90,77.00,2.20,Pre-planting
2023-01-27,26,500.00,-0.00,67.30,77.00,2.20,Pre-planting
2023-01-28,27,500.00,-0.00,70.50,77.00,2.20,Pre-planting
2023-01-29,28,500.00,0.00,73.50,77.00,2.20,Pre-planting
2023-01-30,29,500.00,0.00,76.30,77.00,2.20,Pre-planting
2023-01-31,30,500.00,-0.00,78.90,77.00,2.20,Pre-planting
2023-02-01,31,500.00,0.00,81.30,77.00,2.20,Pre-planting
2023-02-02,32,500.00,0.00,83.50,77.00,2.20,Pre-planting
2023-02-03,33,500.00,-0.00,85.40,77.00,2.20,Pre-planting
2023-02-04,34,500.00,-0.00,87.20,77.00,2.20,Pre-planting
2023-02-05,35,500.00,0.00,88.80,76.00,2.20,Pre-planting
2023-02-06,36,500.00,-0.00,90.20,76.00,2.20,Pre-planting
2023-02-07,37,500.00,-0.00,91.40,76.00,2.20,Pre-planting
