Day,Crop_Biomass (kg/ha),Weed_Biomass (kg/ha),Pest_Density (ind/m²),Bat_Population (ind/km²),Soil_Organic_Matter (%)
0,500.0,300.0,4.0,80.0,2.2
1,500.0,263.8868322288029,4.633480397328026,79.89614827154091,2.2109740754020675
2,500.0,231.4582973703791,5.3440615132118845,79.792478229255,2.2208362716953967
3,500.0,203.05678492722018,6.156471343144672,79.68902749894077,2.229481361362014
4,500.0,178.2052115224128,7.082075668723825,79.58579621311918,2.237051483608901
5,500.0,156.4363209544132,8.134302920573646,79.48278464252562,2.2436862698032702
6,500.0,137.3414461476217,9.327381613030171,79.37999317877788,2.24950814236632
7,500.0,120.59754804992195,10.675018903325247,79.27742230634068,2.25461416119415
8,500.0,105.91091350203787,12.191073361153773,79.17507259623515,2.2590927619183065
9,500.0,93.0266106724645,13.888839141215891,79.07294469191993,2.2630208787467776
10,500.0,81.7224851299506,15.78040718699817,78.97103928544533,2.266465690275868
11,500.0,71.80264977647425,17.87594873501856,78.86935709286654,2.2694865328170364
12,500.0,63.095991171088485,20.182889786246548,78.76789883841214,2.272135328420371
13,500.0,55.452922072161044,22.705029682708247,78.66666523704215,2.274457541780234
14,500.0,48.74245195778643,25.441661423686302,78.56565697957764,2.276493046727098
15,500.0,42.84988302690258,28.386770924859448,78.46487472124305,2.278276808406518
16,500.0,37.67475550964098,31.528407661313256,78.3643190734268,2.2798394940678626
17,500.0,33.12905727077727,34.84832437019104,78.26399059848224,2.2812080067744986
18,500.0,29.13566527222605,38.32197493317282,78.16388980721166,2.28240595115451
19,500.0,25.626984101484926,41.91893435285648,78.06401715857275,2.283454041232516
20,500.0,22.543757245353117,45.603763381862635,77.96437306111021,2.2843704572888
21,500.0,19.83402866827838,49.33728749794151,77.86495787562912,2.285171158224155
22,500.0,17.452235270326057,53.078204095665285,77.76577191867642,2.2858701550667413
23,500.0,15.358413464507327,56.784883815853576,77.66681546646466,2.2864797505048258
24,500.0,13.517505288904363,60.41720218536503,77.56808875894642,2.2870107487137115
