Date,Day_of_Year,Crop_Biomass_kg_ha,Weed_Biomass_kg_ha,Pest_Density_ind_m2,Bat_Population_ind_km2,Soil_Organic_Matter_pct,Growth_Phase
2023-01-01,0,500.00,300.00,4.00,80.00,2.20,Pre-planting
2023-01-02,1,500.00,263.89,4.60,80.00,2.21,Pre-planting
2023-01-03,2,500.00,231.46,5.30,80.00,2.22,Pre-planting
2023-01-04,3,500.00,203.06,6.20,80.00,2.23,Pre-planting
2023-01-05,4,500.00,178.21,7.10,80.00,2.24,Pre-planting
2023-01-06,5,500.00,156.44,8.10,79.00,2.24,Pre-planting
2023-01-07,6,500.00,137.34,9.30,79.00,2.25,Pre-planting
2023-01-08,7,500.00,120.60,10.70,79.00,2.25,Pre-planting
2023-01-09,8,500.00,105.91,12.20,79.00,2.26,Pre-planting
2023-01-10,9,500.00,93.03,13.90,79.00,2.26,Pre-planting
2023-01-11,10,500.00,81.72,15.80,79.00,2.27,Pre-planting
2023-01-12,11,500.00,71.80,17.90,79.00,2.27,Pre-planting
2023-01-13,12,500.00,63.10,20.20,79.00,2.27,Pre-planting
2023-01-14,13,500.00,55.45,22.70,79.00,2.27,Pre-planting
2023-01-15,14,500.00,48.74,25.40,79.00,2.28,Pre-planting
2023-01-16,15,500.00,42.85,28.40,78.00,2.28,Pre-planting
2023-01-17,16,500.00,37.67,31.50,78.00,2.28,Pre-planting
2023-01-18,17,500.00,33.13,34.80,78.00,2.28,Pre-planting
2023-01-19,18,500.00,29.14,38.30,78.00,2.28,Pre-planting
2023-01-20,19,500.00,25.63,41.90,78.00,2.28,Pre-planting
2023-01-21,20,500.00,22.54,45.60,78.00,2.28,Pre-planting
2023-01-22,21,500.00,19.83,49.30,78.00,2.29,Pre-planting
2023-01-23,22,500.00,17.45,53.10,78.00,2.29,Pre-planting
2023-01-24,23,500.00,15.36,56.80,78.00,2.29,Pre-planting
2023-01-25,24,500.00,13.52,60.40,78.00,2.29,Pre-planting
2023-01-26,25,500.00,11.90,63.90,77.00,2.29,Pre-planting
2023-01-27,26,500.00,10.48,67.30,77.00,2.29,Pre-planting
2023-01-28,27,500.00,9.22,70.50,77.00,2.29,Pre-planting
2023-01-29,28,500.00,8.12,73.50,77.00,2.29,Pre-planting
2023-01-30,29,500.00,7.15,76.40,77.00,2.29,Pre-planting
2023-01-31,30,500.00,6.30,78.90,77.00,2.29,Pre-planting
2023-02-01,31,500.00,5.55,81.30,77.00,2.29,Pre-planting
2023-02-02,32,500.00,4.89,83.50,77.00,2.29,Pre-planting
2023-02-03,33,500.00,4.31,85.50,77.00,2.29,Pre-planting
2023-02-04,34,500.00,3.80,87.20,77.00,2.29,Pre-planting
2023-02-05,35,500.00,3.35,88.80,76.00,2.29,Pre-planting
2023-02-06,36,500.00,2.95,90.20,76.00,2.29,Pre-planting
2023-02-07,37,500.00,2.60,91.50,76.00,2.29,Pre-planting
2023-02-08,38,500.00,2.29,92.60,76.00,2.29,Pre-planting
2023-02-09,39,500.00,2.02,93.50,76.00,2.29,Pre-planting
2023-02-10,40,500.00,1.78,94.40,76.00,2.29,Pre-planting
2023-02-11,41,500.00,1.57,95.10,76.00,2.29,Pre-planting
2023-02-12,42,500.00,1.39,95.80,76.00,2.29,Pre-planting
2023-02-13,43,500.00,1.22,96.30,76.00,2.29,Pre-planting
2023-02-14,44,500.00,1.08,96.80,76.00,2.29,Pre-planting
2023-02-15,45,500.00,0.95,97.30,76.00,2.29,Pre-planting
2023-02-16,46,500.00,0.84,97.60,75.00,2.29,Pre-planting
2023-02-17,47,500.00,0.74,98.00,75.00,2.29,Pre-planting
2023-02-18,48,500.00,0.65,98.20,75.00,2.29,Pre-planting
2023-02-19,49,500.00,0.58,98.50,75.00,2.29,Pre-planting
2023-02-20,50,500.00,0.51,98.70,75.00,2.29,Pre-planting
2023-02-21,51,500.00,0.45,98.90,75.00,2.29,Pre-planting
2023-02-22,52,500.00,0.40,99.00,75.00,2.29,Pre-planting
2023-02-23,53,500.00,0.35,99.20,75.00,2.29,Pre-planting
2023-02-24,54,500.00,0.31,99.30,75.00,2.29,Pre-planting
2023-02-25,55,500.00,0.27,99.40,75.00,2.29,Pre-planting
2023-02-26,56,500.00,0.24,99.50,75.00,2.29,Pre-planting
2023-02-27,57,500.00,0.21,99.50,74.00,2.29,Pre-planting
2023-02-28,58,500.00,0.19,99.60,74.00,2.29,Pre-planting
2023-03-01,59,500.00,0.17,99.70,74.00,2.29,Pre-planting
2023-03-02,60,500.00,0.15,99.70,74.00,2.29,Seedling
2023-03-03,61,497.98,-0.42,99.70,74.00,2.29,Seedling
2023-03-04,62,496.05,-0.91,99.80,74.00,2.29,Seedling
2023-03-05,63,494.23,-1.31,99.80,74.00,2.29,Seedling
2023-03-06,64,492.52,-1.64,99.80,74.00,2.29,Seedling
